EventDate,Region,Type,Subtype,Subsubtype
30-Jun-12,Northern America,Storm,Convective storm,Tornado
1-Jul-29,Western Europe,Storm,Convective storm,Hail
13-Jun-30,Southern Europe,Storm,Convective storm,Hail
1-Nov-50,Northern America,Storm,Convective storm,Tornado
4-Jan-51,Eastern Africa,Storm,Convective storm,Tornado
1-Jul-53,Western Europe,Storm,Convective storm,Severe storm
16-Feb-59,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Feb-62,Western Europe,Storm,Convective storm,Severe storm
17-Jun-66,Western Europe,Storm,Convective storm,Tornado
4-Mar-66,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Apr-66,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
25-Jun-67,Western Europe,Storm,Convective storm,Tornado
25-Jun-67,Western Europe,Storm,Convective storm,Tornado
10-Jul-68,Western Europe,Storm,Convective storm,Tornado
4-Mar-71,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-May-71,Northern America,Mass movement (dry),Landslide,Mudslide
2-Apr-72,Southern Asia,Storm,Convective storm,Tornado
1-Jan-73,South America,Storm,Convective storm,Tornado
28-Apr-75,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Jan-76,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
2-Nov-76,Australia and New Zealand,Storm,Convective storm,Tornado
10-Apr-76,Southern Asia,Storm,Convective storm,Tornado
9-May-76,Southern Asia,Storm,Convective storm,Tornado
1-Jan-77,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
6-Oct-77,Southern Asia,Storm,Convective storm,Tornado
17-Mar-78,Southern Asia,Storm,Convective storm,Tornado
16-Apr-78,Southern Asia,Storm,Convective storm,Tornado
16-Apr-78,Southern Asia,Storm,Convective storm,Tornado
1-Jan-03,Northern America,Storm,Convective storm,Tornado
1-Mar-13,Northern America,Storm,Convective storm,Tornado
20-Apr-20,Northern America,Storm,Convective storm,Tornado
10-Jul-23,Russian Federation,Storm,Convective storm,Hail
17-Mar-25,Northern America,Storm,Convective storm,Tornado
1-Sep-27,Northern America,Storm,Convective storm,Tornado
6-Jul-28,Eastern Europe,Storm,Convective storm,Tornado
1-May-28,Eastern Europe,Storm,Convective storm,Hail
21-Mar-32,Northern America,Storm,Convective storm,Tornado
5-Apr-36,Northern America,Storm,Convective storm,Tornado
10-Mar-39,Southern Asia,Storm,Convective storm,Hail
1-Jun-53,Northern America,Storm,Convective storm,Tornado
1-Jan-63,Northern America,Storm,Convective storm,Tornado
13-Sep-64,Central America,Storm,Convective storm,Tornado
8-May-64,Western Asia,Storm,Convective storm,Hail
5-Jul-65,Southern Europe,Storm,Convective storm,Tornado
11-Apr-65,Northern America,Storm,Convective storm,Tornado
15-Mar-66,Western Africa,Storm,Convective storm,Tornado
8-Jun-66,Northern America,Storm,Convective storm,Tornado
11-May-70,Northern America,Storm,Convective storm,Tornado
10-Feb-72,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
4-Feb-72,Western Asia,Storm,Convective storm,Winter storm/Blizzard
2-Apr-74,Northern America,Storm,Convective storm,Tornado
22-Oct-77,Eastern Africa,Storm,Convective storm,Hail
25-Jun-78,Southern Europe,Storm,Convective storm,Tornado
5-Feb-78,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Nov-79,Australia and New Zealand,Storm,Convective storm,Hail
6-May-79,Northern Africa,Storm,Convective storm,Sand/Dust storm
25-Jun-80,South America,Storm,Convective storm,Tornado
24-Dec-80,Northern Europe,Storm,Convective storm,Severe storm
7-Aug-80,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-Jul-81,Northern America,Storm,Convective storm,Hail
1-Nov-81,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
19-Jul-81,Western Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-81,Southern Asia,Storm,Convective storm,Tornado
10-Nov-81,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-81,Eastern Asia,Storm,Convective storm,Hail
19-Jul-81,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
19-Mar-81,Eastern Asia,Storm,Convective storm,Hail
15-Nov-82,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
15-Dec-82,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
20-Sep-82,Western Europe,Storm,Convective storm,Tornado
18-Apr-83,Caribbean,Storm,Convective storm,Tornado
26-Apr-83,Southern Asia,Storm,Convective storm,Tornado
15-Jan-83,Western Europe,Storm,Convective storm,Winter storm/Blizzard
1-Apr-83,Eastern Asia,Storm,Convective storm,Tornado
14-Apr-83,Eastern Asia,Storm,Convective storm,Tornado
17-Jun-83,South America,Storm,Convective storm,Tornado
23-Apr-83,Western Asia,Storm,Convective storm,Hail
26-Jul-83,Western Europe,Storm,Convective storm,Severe storm
1-Feb-83,Northern Europe,Storm,Convective storm,Severe storm
12-Jul-84,Western Europe,Storm,Convective storm,Hail
12-Jul-84,Western Europe,Storm,Convective storm,Hail
21-Nov-84,Western Europe,Storm,Convective storm,Severe storm
9-Oct-84,South America,Storm,Convective storm,Tornado
1-Jul-84,South America,Storm,Convective storm,Winter storm/Blizzard
22-Nov-84,Eastern Europe,Storm,Convective storm,Severe storm
22-Nov-84,Western Europe,Storm,Convective storm,Severe storm
11-Jul-84,Western Europe,Storm,Convective storm,Severe storm
21-Nov-84,Western Europe,Storm,Convective storm,Severe storm
24-Jan-84,Northern Europe,Storm,Convective storm,Winter storm/Blizzard
18-Jan-85,Australia and New Zealand,Storm,Convective storm,Hail
1-Sep-85,Australia and New Zealand,Storm,Convective storm,Hail
1-Aug-85,Western Europe,Storm,Convective storm,Severe storm
28-Mar-85,Southern Asia,Storm,Convective storm,Tornado
30-Sep-85,South America,Storm,Convective storm,Hail
29-May-85,Northern America,Storm,Convective storm,Tornado
15-Aug-85,Western Europe,Storm,Convective storm,Hail
1-Aug-85,Western Europe,Storm,Convective storm,Severe storm
1-Aug-85,Western Europe,Storm,Convective storm,Severe storm
1-Aug-85,Northern Europe,Storm,Convective storm,Severe storm
1-Aug-85,Western Europe,Storm,Convective storm,Severe storm
1-Dec-86,South America,Storm,Convective storm,Tornado
1-Jan-86,Australia and New Zealand,Storm,Convective storm,Hail
4-Apr-86,Southern Asia,Storm,Convective storm,Hail
1-Jan-86,Northern America,Storm,Convective storm,Tornado
1-Aug-86,Western Europe,Storm,Convective storm,Hail
15-Jun-86,South America,Storm,Convective storm,Severe storm
1-Jan-86,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
31-Jul-87,Northern America,Storm,Convective storm,Tornado
6-Mar-87,Eastern Asia,Storm,Convective storm,Tornado
31-Jul-87,Eastern Asia,Storm,Convective storm,Tornado
24-Aug-87,Southern Europe,Storm,Convective storm,Hail
9-May-80,Southern Asia,Storm,Convective storm,Sand/Dust storm
13-Jun-80,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
17-Apr-81,Southern Asia,Storm,Convective storm,Tornado
10-Mar-81,Southern Asia,Storm,Convective storm,Tornado
6-Oct-82,Western Africa,Mass movement (dry),Landslide,Mudslide
1-Feb-82,Western Asia,Storm,Convective storm,Severe storm
1-Dec-83,Central America,Storm,Convective storm,Winter storm/Blizzard
16-Sep-83,South-Eastern Asia,Storm,Convective storm,Tornado
1-Jan-83,Eastern Europe,Storm,Convective storm,Severe storm
21-Nov-84,Western Europe,Storm,Convective storm,Severe storm
1-Aug-85,Western Europe,Storm,Convective storm,Severe storm
16-Nov-86,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Apr-86,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
31-May-86,Southern Asia,Storm,Convective storm,Sand/Dust storm
1-Jan-87,Southern Asia,Storm,Convective storm,Hail
12-Mar-88,Southern Asia,Storm,Convective storm,Hail
1-Apr-88,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
23-Jul-88,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
21-Oct-88,South-Eastern Asia,Storm,Convective storm,Tornado
6-Sep-88,Melanesia,Mass movement (dry),Landslide,Mudslide
10-Apr-79,Northern America,Storm,Convective storm,Tornado
10-Apr-79,Northern America,Storm,Convective storm,Winter storm/Blizzard
9-May-81,Northern America,Storm,Convective storm,Tornado
2-Apr-82,Northern America,Storm,Convective storm,Tornado
7-May-82,Northern America,Storm,Convective storm,Tornado
5-Apr-82,Northern America,Storm,Convective storm,Winter storm/Blizzard
25-Dec-82,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Jun-83,Russian Federation,Storm,Convective storm,Severe storm
1-May-83,South-Eastern Asia,Storm,Convective storm,Severe storm
1-Jun-84,Russian Federation,Storm,Convective storm,Tornado
27-Mar-84,Northern America,Storm,Convective storm,Tornado
13-Jun-84,Northern America,Storm,Convective storm,Tornado
1-Nov-84,Southern Africa,Storm,Convective storm,Hail
29-May-85,Northern America,Storm,Convective storm,Tornado
5-Feb-86,Northern America,Storm,Convective storm,Severe storm
16-Mar-87,Russian Federation,Mass movement (dry),Landslide,Mudslide
22-May-87,Northern America,Storm,Convective storm,Tornado
27-Feb-87,Northern America,Storm,Convective storm,Tornado
13-Dec-87,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Jan-87,Northern America,Storm,Convective storm,Winter storm/Blizzard
20-Jan-87,Northern America,Storm,Convective storm,Winter storm/Blizzard
25-Jun-88,Middle Africa,Storm,Convective storm,Hail
26-Apr-89,Southern Asia,Storm,Convective storm,Tornado
20-Apr-89,Eastern Asia,Storm,Convective storm,Hail
1-Aug-89,Eastern Asia,Storm,Convective storm,Hail
1-Jun-89,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
18-Mar-90,Australia and New Zealand,Storm,Convective storm,Hail
22-May-90,Western Europe,Storm,Convective storm,Severe storm
1-Jul-90,Western Europe,Storm,Convective storm,Severe storm
2-May-90,Southern Asia,Storm,Convective storm,Tornado
22-Apr-90,Southern Asia,Storm,Convective storm,Tornado
15-Jul-90,Eastern Asia,Storm,Convective storm,Hail
9-Nov-90,Eastern Asia,Storm,Convective storm,Tornado
16-Nov-90,Eastern Asia,Storm,Convective storm,Tornado
13-Jul-91,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
7-Sep-91,Northern America,Storm,Convective storm,Hail
17-Mar-91,Eastern Asia,Storm,Convective storm,Hail
1-Jan-91,Australia and New Zealand,Storm,Convective storm,Severe storm
7-May-91,Southern Asia,Storm,Convective storm,Tornado
20-Apr-92,Eastern Asia,Storm,Convective storm,Hail
15-Mar-92,Eastern Asia,Storm,Convective storm,Hail
12-Feb-92,Australia and New Zealand,Storm,Convective storm,Hail
18-Dec-92,Australia and New Zealand,Storm,Convective storm,Severe storm
1-Mar-92,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
4-Jul-93,Western Europe,Storm,Convective storm,Hail
5-Jul-93,Western Europe,Storm,Convective storm,Hail
1-Sep-93,Australia and New Zealand,Storm,Convective storm,Tornado
5-Jul-93,Western Europe,Storm,Convective storm,Hail
12-Jan-93,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
8-Mar-93,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
19-May-93,Western Europe,Storm,Convective storm,Hail
24-Apr-93,Eastern Asia,Storm,Convective storm,Hail
5-May-93,Eastern Asia,Storm,Convective storm,Sand/Dust storm
1-Jan-93,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
18-Dec-93,South America,Mass movement (dry),Landslide,Mudslide
13-Mar-93,Caribbean,Storm,Convective storm,Winter storm/Blizzard
14-Dec-93,Northern Africa,Mass movement (dry),Subsidence,Sudden subsidence
20-Aug-90,Southern Asia,Storm,Convective storm,Severe storm
25-Aug-90,Southern Asia,Storm,Convective storm,Severe storm
12-Dec-90,Eastern Asia,Storm,Convective storm,Tornado
21-Apr-90,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
27-May-91,Southern Asia,Storm,Convective storm,Severe storm
21-Apr-91,Eastern Asia,Storm,Convective storm,Severe storm
17-Jun-92,Southern Asia,Storm,Convective storm,Severe storm
1-Feb-92,Western Asia,Storm,Convective storm,Winter storm/Blizzard
22-Sep-92,Western Europe,Storm,Convective storm,Severe storm
24-Aug-92,Australia and New Zealand,Storm,Convective storm,Winter storm/Blizzard
6-Jul-92,Central America,Storm,Convective storm,Tornado
5-Jul-93,Western Europe,Storm,Convective storm,Hail
15-Apr-93,Eastern Africa,Storm,Convective storm,Hail
25-May-93,Southern Asia,Storm,Convective storm,Hail
5-May-93,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
10-Mar-93,Central America,Storm,Convective storm,Winter storm/Blizzard
15-Nov-89,Northern America,Storm,Convective storm,Tornado
13-Mar-90,Northern America,Storm,Convective storm,Severe storm
1-May-90,Northern America,Storm,Convective storm,Severe storm
14-May-90,Northern America,Storm,Convective storm,Severe storm
18-May-90,Northern America,Storm,Convective storm,Severe storm
6-Jun-90,Northern America,Storm,Convective storm,Severe storm
5-Apr-90,Northern America,Storm,Convective storm,Severe storm
16-Apr-90,Northern America,Storm,Convective storm,Severe storm
24-Apr-90,Northern America,Storm,Convective storm,Severe storm
1-Jun-90,Northern America,Storm,Convective storm,Severe storm
14-Jun-90,Northern America,Storm,Convective storm,Severe storm
11-Jul-90,Northern America,Storm,Convective storm,Severe storm
28-Aug-90,Northern America,Storm,Convective storm,Severe storm
18-Oct-90,Northern America,Storm,Convective storm,Severe storm
27-Nov-90,Northern America,Storm,Convective storm,Severe storm
20-Mar-90,Southern Africa,Storm,Convective storm,Tornado
27-Feb-91,Northern America,Storm,Convective storm,Severe storm
18-Feb-91,Northern America,Storm,Convective storm,Severe storm
1-Mar-91,Northern America,Storm,Convective storm,Severe storm
1-Aug-91,Russian Federation,Storm,Convective storm,Tornado
26-Apr-91,Northern America,Storm,Convective storm,Tornado
24-Jun-91,Northern America,Storm,Convective storm,Hail
30-May-91,Northern America,Storm,Convective storm,Tornado
17-Jun-91,Northern America,Storm,Convective storm,Tornado
21-Jun-91,Northern America,Storm,Convective storm,Tornado
7-Jul-91,Northern America,Storm,Convective storm,Tornado
2-Oct-91,Northern America,Storm,Convective storm,Tornado
16-Nov-91,Northern America,Storm,Convective storm,Tornado
30-Nov-91,Northern America,Storm,Convective storm,Sand/Dust storm
11-Mar-91,Northern America,Storm,Convective storm,Severe storm
10-Apr-92,Northern America,Storm,Convective storm,Hail
19-Apr-92,Northern America,Storm,Convective storm,Hail
3-Mar-92,Northern America,Storm,Convective storm,Severe storm
8-Mar-92,Northern America,Storm,Convective storm,Severe storm
24-Mar-92,Northern America,Storm,Convective storm,Severe storm
28-Apr-92,Northern America,Storm,Convective storm,Severe storm
10-May-92,Northern America,Storm,Convective storm,Severe storm
22-May-92,Northern America,Storm,Convective storm,Severe storm
14-Jun-92,Northern America,Storm,Convective storm,Severe storm
19-Jun-92,Northern America,Storm,Convective storm,Severe storm
24-Jun-92,Northern America,Storm,Convective storm,Severe storm
2-Jul-92,Northern America,Storm,Convective storm,Severe storm
5-Jul-92,Northern America,Storm,Convective storm,Severe storm
6-Jul-92,Northern America,Storm,Convective storm,Severe storm
5-Sep-92,Northern America,Storm,Convective storm,Severe storm
3-Oct-92,Northern America,Storm,Convective storm,Severe storm
15-Oct-92,Northern America,Storm,Convective storm,Severe storm
12-Nov-92,Northern America,Storm,Convective storm,Severe storm
21-Nov-92,Northern America,Storm,Convective storm,Severe storm
1-Dec-92,Northern America,Storm,Convective storm,Severe storm
25-Mar-93,Northern America,Storm,Convective storm,Hail
28-Mar-93,Northern America,Storm,Convective storm,Hail
28-Jul-93,Northern America,Storm,Convective storm,Hail
24-Apr-93,Northern America,Storm,Convective storm,Tornado
21-Feb-93,Northern America,Storm,Convective storm,Tornado
5-Apr-93,Northern America,Storm,Convective storm,Tornado
7-Jun-93,Northern America,Storm,Convective storm,Tornado
21-Sep-93,Northern America,Storm,Convective storm,Tornado
12-Oct-93,Northern America,Storm,Convective storm,Tornado
19-Apr-93,Northern America,Storm,Convective storm,Severe storm
1-May-93,Northern America,Storm,Convective storm,Severe storm
2-Jun-93,Northern America,Storm,Convective storm,Severe storm
16-Mar-93,South-Eastern Asia,Storm,Convective storm,Hail
14-Jan-94,Northern America,Storm,Convective storm,Winter storm/Blizzard
26-Mar-94,Northern America,Storm,Convective storm,Tornado
1-Nov-94,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
25-May-94,Australia and New Zealand,Storm,Convective storm,Severe storm
15-May-94,South America,Storm,Convective storm,Tornado
15-May-94,South America,Storm,Convective storm,Tornado
1-Aug-94,Northern America,Storm,Convective storm,Hail
5-Aug-94,Northern America,Storm,Convective storm,Tornado
19-Apr-95,Eastern Asia,Storm,Convective storm,Hail
1-Apr-95,Australia and New Zealand,Storm,Convective storm,Tornado
12-Apr-95,Southern Asia,Storm,Convective storm,Tornado
12-Apr-95,Southern Asia,Storm,Convective storm,Severe storm
16-Feb-95,Eastern Asia,Storm,Convective storm,Hail
2-Mar-95,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Dec-96,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
1-Jan-96,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
7-Jun-97,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
12-Oct-97,Southern Asia,Storm,Convective storm,Tornado
4-Apr-97,Northern America,Storm,Convective storm,Winter storm/Blizzard
20-Jun-97,South America,Storm,Convective storm,Winter storm/Blizzard
4-Jun-97,South America,Storm,Convective storm,Severe storm
9-May-97,Eastern Asia,Storm,Convective storm,Tornado
18-Apr-98,Eastern Asia,Storm,Convective storm,Sand/Dust storm
16-Jan-98,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
3-Jul-94,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
7-Jun-94,Southern Asia,Storm,Convective storm,Tornado
24-Aug-94,Southern Europe,Storm,Convective storm,Tornado
12-Feb-94,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
11-Nov-94,Eastern Europe,Storm,Convective storm,Severe storm
15-Dec-95,Northern Europe,Storm,Convective storm,Winter storm/Blizzard
21-Jul-95,Western Europe,Storm,Convective storm,Hail
7-Oct-95,Caribbean,Storm,Convective storm,Tornado
2-May-97,Northern Africa,Storm,Convective storm,Sand/Dust storm
21-Oct-97,Southern Asia,Storm,Convective storm,Hail
27-Jun-97,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
24-Mar-98,Southern Asia,Storm,Convective storm,Tornado
16-Jan-98,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
26-May-94,Eastern Europe,Storm,Convective storm,Hail
26-Mar-94,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
7-Oct-94,Northern America,Storm,Convective storm,Hail
10-Feb-94,Northern America,Storm,Convective storm,Winter storm/Blizzard
15-Apr-94,Northern America,Storm,Convective storm,Severe storm
1-Apr-94,Southern Africa,Storm,Convective storm,Tornado
22-May-95,Northern America,Storm,Convective storm,Tornado
29-Jun-95,Eastern Europe,Storm,Convective storm,Lightning/Thunderstorms
8-Nov-95,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
16-May-95,Northern America,Storm,Convective storm,Tornado
25-Nov-96,Northern America,Storm,Convective storm,Tornado
19-Apr-96,Northern America,Storm,Convective storm,Tornado
6-Jan-96,Northern America,Storm,Convective storm,Winter storm/Blizzard
12-Jan-96,Northern America,Storm,Convective storm,Winter storm/Blizzard
31-Jan-96,Northern America,Storm,Convective storm,Winter storm/Blizzard
5-Mar-96,Northern America,Storm,Convective storm,Severe storm
27-Apr-96,Northern America,Storm,Convective storm,Severe storm
20-May-97,Northern America,Storm,Convective storm,Hail
28-Feb-97,Northern America,Storm,Convective storm,Tornado
1-Jul-97,Northern America,Storm,Convective storm,Lightning/Thunderstorms
11-Aug-97,Northern America,Storm,Convective storm,Lightning/Thunderstorms
24-Jan-97,Northern America,Storm,Convective storm,Tornado
23-Mar-97,Northern America,Storm,Convective storm,Tornado
10-Apr-97,Northern America,Storm,Convective storm,Tornado
21-Apr-97,Northern America,Storm,Convective storm,Tornado
30-Apr-97,Northern America,Storm,Convective storm,Tornado
17-May-97,Northern America,Storm,Convective storm,Tornado
20-Jun-97,Northern America,Storm,Convective storm,Tornado
15-Aug-97,Northern America,Storm,Convective storm,Tornado
1-Nov-97,Northern America,Storm,Convective storm,Tornado
4-Jan-97,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Apr-97,Northern America,Storm,Convective storm,Winter storm/Blizzard
5-Dec-97,Northern America,Storm,Convective storm,Severe storm
22-Feb-98,Northern America,Storm,Convective storm,Tornado
10-Feb-98,Northern America,Storm,Convective storm,Hail
27-Mar-98,Northern America,Storm,Convective storm,Hail
8-Apr-98,Northern America,Storm,Convective storm,Hail
15-May-98,Northern America,Storm,Convective storm,Hail
30-May-98,Northern America,Storm,Convective storm,Hail
4-Oct-98,Northern America,Storm,Convective storm,Tornado
21-Jul-98,Northern America,Storm,Convective storm,Lightning/Thunderstorms
5-Mar-98,Northern America,Storm,Convective storm,Tornado
8-May-98,South-Eastern Asia,Storm,Convective storm,Tornado
14-Apr-99,Australia and New Zealand,Storm,Convective storm,Hail
1-Mar-99,Eastern Africa,Storm,Convective storm,Hail
14-Aug-99,Western Europe,Storm,Convective storm,Tornado
30-Apr-99,Southern Asia,Storm,Convective storm,Hail
26-Mar-99,Southern Asia,Storm,Convective storm,Tornado
16-May-99,Eastern Europe,Storm,Convective storm,Tornado
6-Jul-99,Northern America,Storm,Convective storm,Tornado
23-Apr-99,Eastern Asia,Storm,Convective storm,Hail
23-Apr-99,Eastern Asia,Storm,Convective storm,Tornado
15-May-99,Eastern Asia,Storm,Convective storm,Tornado
27-Dec-00,South America,Storm,Convective storm,Lightning/Thunderstorms
1-Sep-00,South America,Storm,Convective storm,Winter storm/Blizzard
5-Mar-00,Southern Asia,Storm,Convective storm,Tornado
25-Jun-00,Southern Asia,Storm,Convective storm,Tornado
14-Jul-00,Northern America,Storm,Convective storm,Tornado
13-Jul-00,Eastern Asia,Storm,Convective storm,Tornado
1-Jan-01,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Feb-99,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
16-Oct-99,Western Africa,Storm,Convective storm,Tornado
24-May-00,Eastern Asia,Storm,Convective storm,Hail
28-Oct-00,Northern Europe,Storm,Convective storm,Severe storm
19-Sep-00,Western Europe,Storm,Convective storm,Tornado
11-Jun-00,Western Africa,Storm,Convective storm,Tornado
26-Nov-00,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
21-Sep-00,Central America,Storm,Convective storm,Severe storm
1-Dec-00,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
9-Oct-00,Central America,Storm,Convective storm,Tornado
