EventDate,Region,Type,Subtype,Subsubtype
7-Jan-11,Northern America,Storm,Convective storm,Winter storm/Blizzard
17-Jan-11,Northern America,Storm,Convective storm,Winter storm/Blizzard
2-Oct-11,Southern Africa,Storm,Convective storm,Lightning/Thunderstorms
2-Mar-12,Northern America,Storm,Convective storm,Tornado
28-Feb-12,Northern America,Storm,Convective storm,Tornado
2-Apr-12,Northern America,Storm,Convective storm,Tornado
14-Apr-12,Northern America,Storm,Convective storm,Tornado
19-Dec-12,Northern America,Storm,Convective storm,Winter storm/Blizzard
25-Dec-12,Northern America,Storm,Convective storm,Winter storm/Blizzard
18-Jan-12,Northern America,Storm,Convective storm,Winter storm/Blizzard
28-Jun-12,Northern America,Storm,Convective storm,Severe storm
28-Apr-12,Northern America,Storm,Convective storm,Severe storm
18-May-13,Northern America,Storm,Convective storm,Tornado
15-May-13,Northern America,Storm,Convective storm,Tornado
16-Nov-13,Northern America,Storm,Convective storm,Tornado
24-Feb-13,Northern America,Storm,Convective storm,Winter storm/Blizzard
8-Feb-13,Northern America,Storm,Convective storm,Winter storm/Blizzard
24-Nov-13,Northern America,Storm,Convective storm,Winter storm/Blizzard
17-Apr-13,Northern America,Storm,Convective storm,Severe storm
29-Jan-13,Northern America,Storm,Convective storm,Tornado
26-May-13,Northern America,Storm,Convective storm,Tornado
9-Feb-13,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Dec-13,Northern America,Storm,Convective storm,Winter storm/Blizzard
19-Dec-13,Northern America,Extreme temperature,Severe winter conditions,Snow/Ice
7-Apr-13,Northern America,Storm,Convective storm,Severe storm
18-Mar-13,Northern America,Storm,Convective storm,Severe storm
2-Sep-14,Eastern Asia,Storm,Convective storm,Severe storm
18-Sep-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
27-Mar-14,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
22-Apr-14,Eastern Asia,Storm,Convective storm,Severe storm
17-Jun-14,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
19-Jul-14,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
2-Feb-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Feb-14,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
7-Feb-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
7-Apr-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Jan-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
26-Jan-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
22-Nov-14,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
8-Jun-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
8-Jul-14,Eastern Europe,Storm,Convective storm,Hail
15-Nov-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
16-Apr-14,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Aug-14,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
12-Mar-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
2-Dec-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
6-Oct-14,South America,Storm,Convective storm,Lightning/Thunderstorms
8-Jun-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
28-Jul-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
8-Jun-14,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
7-May-15,Eastern Asia,Storm,Convective storm,Severe storm
21-Jun-15,Eastern Asia,Storm,Convective storm,Severe storm
1-Apr-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
8-Aug-15,South America,Storm,Convective storm,Severe storm
19-Apr-15,Eastern Asia,Storm,Convective storm,Severe storm
24-Oct-15,Northern Africa,Storm,Convective storm,Lightning/Thunderstorms
20-Apr-15,Australia and New Zealand,Storm,Convective storm,Severe storm
24-Mar-15,Eastern Asia,Storm,Convective storm,Severe storm
6-Apr-15,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
29-Mar-15,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
15-Feb-15,South America,Storm,Convective storm,Rain
24-Apr-15,Middle Africa,Storm,Convective storm,Severe storm
3-Nov-15,Northern Africa,Storm,Convective storm,Lightning/Thunderstorms
13-Jul-15,Eastern Asia,Storm,Convective storm,Severe storm
2-May-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
23-May-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
20-Apr-15,South America,Storm,Convective storm,Lightning/Thunderstorms
22-Nov-15,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
4-Apr-15,Eastern Asia,Storm,Convective storm,Severe storm
6-Oct-15,Eastern Asia,Storm,Convective storm,Severe storm
8-Sep-16,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
24-Apr-16,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
4-Jun-16,Australia and New Zealand,Storm,Convective storm,Winter storm/Blizzard
23-Jun-16,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
13-May-16,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
24-Jun-16,Eastern Asia,Storm,Convective storm,Tornado
10-Mar-14,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
6-Mar-14,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
12-Nov-14,Southern Europe,Storm,Convective storm,Lightning/Thunderstorms
14-Oct-14,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
16-Mar-14,South-Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
21-Nov-14,Northern Africa,Storm,Convective storm,Severe storm
15-Aug-14,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
30-May-14,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
8-Feb-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
14-Feb-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
17-Dec-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
2-Dec-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Feb-14,Central Asia,Storm,Convective storm,Winter storm/Blizzard
17-Feb-14,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
11-Oct-14,Southern Africa,Storm,Convective storm,Severe storm
18-Apr-14,Southern Asia,Landslide,Avalanche,Winter storm/Blizzard
6-Mar-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
26-Mar-15,Central America,Storm,Convective storm,Severe storm
2-Mar-15,Southern Europe,Storm,Convective storm,Severe storm
21-Apr-15,Southern Asia,Storm,Convective storm,Severe storm
19-Feb-15,Western Asia,Storm,Convective storm,Winter storm/Blizzard
7-Jan-15,Western Asia,Storm,Convective storm,Winter storm/Blizzard
2-Jan-15,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
19-Jan-15,Western Asia,Storm,Convective storm,Severe storm
7-Jan-15,Western Asia,Storm,Convective storm,Winter storm/Blizzard
4-Apr-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
6-Sep-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
19-May-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
3-Oct-15,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
8-Sep-15,Western Asia,Storm,Convective storm,Sand/Dust storm
8-Sep-15,Western Asia,Storm,Convective storm,Sand/Dust storm
6-Jan-15,Western Asia,Storm,Convective storm,Winter storm/Blizzard
10-Feb-15,Western Asia,Storm,Convective storm,Winter storm/Blizzard
25-May-15,Central America,Storm,Convective storm,Tornado
4-Apr-15,South-Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
19-Jul-15,Eastern Europe,Storm,Convective storm,Severe storm
4-Apr-15,South America,Storm,Convective storm,Severe storm
2-May-15,Central America,Storm,Convective storm,Storm/Surge
8-Sep-15,Western Asia,Storm,Convective storm,Sand/Dust storm
14-Aug-16,Western Africa,Storm,Convective storm,Lightning/Thunderstorms
21-Apr-16,South-Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
23-Jun-16,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
12-Jun-16,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
20-Jun-16,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
29-Apr-16,South-Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
1-Jun-16,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
26-Feb-03,Northern America,Storm,Convective storm,Winter storm/Blizzard
10-Dec-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
26-Jul-14,Northern America,Storm,Convective storm,Lightning/Thunderstorms
27-Apr-14,Northern America,Storm,Convective storm,Severe storm
12-Oct-14,Northern America,Storm,Convective storm,Lightning/Thunderstorms
18-May-14,Northern America,Storm,Convective storm,Lightning/Thunderstorms
3-Jun-14,Northern America,Storm,Convective storm,Lightning/Thunderstorms
11-Feb-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
28-Feb-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
15-Nov-14,Northern America,Storm,Convective storm,Winter storm/Blizzard
6-May-15,Northern America,Storm,Convective storm,Lightning/Thunderstorms
29-Oct-15,Northern America,Storm,Convective storm,Lightning/Thunderstorms
24-Apr-15,Northern America,Storm,Convective storm,Tornado
3-May-15,Northern America,Storm,Convective storm,Tornado
3-Jun-15,Northern America,Storm,Convective storm,Lightning/Thunderstorms
7-Apr-15,Northern America,Storm,Convective storm,Tornado
12-Jul-15,Northern America,Storm,Convective storm,Severe storm
25-Mar-15,Northern America,Storm,Convective storm,Tornado
2-Aug-15,Northern America,Storm,Convective storm,Severe storm
16-Feb-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
31-Jan-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
3-Mar-15,Eastern Africa,Storm,Convective storm,Hail
26-Dec-15,Northern America,Storm,Convective storm,Tornado
25-Nov-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
2-Jan-15,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
26-Jan-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
6-May-15,Northern America,Storm,Convective storm,Tornado
6-Jan-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
16-Feb-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
3-Mar-15,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Jan-16,Northern America,Storm,Convective storm,Severe storm
25-Apr-16,Northern America,Storm,Convective storm,Lightning/Thunderstorms
10-Apr-16,Northern America,Storm,Convective storm,Lightning/Thunderstorms
8-May-16,Northern America,Storm,Convective storm,Tornado
17-Mar-16,Northern America,Storm,Convective storm,Severe storm
22-Mar-16,Northern America,Storm,Convective storm,Severe storm
21-May-16,Northern America,Storm,Convective storm,Hail
4-Mar-16,Northern America,Storm,Convective storm,Severe storm
27-Oct-16,Northern Africa,Storm,Convective storm,Lightning/Thunderstorms
23-Jan-16,Northern America,Storm,Convective storm,Winter storm/Blizzard
22-Feb-16,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Aug-16,Eastern Asia,Storm,Convective storm,Severe storm
5-Aug-17,Western Europe,Storm,Convective storm,Severe storm
14-Jul-17,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
24-Jan-17,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
17-Feb-17,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
13-Jul-17,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
18-Aug-17,Western Europe,Storm,Convective storm,Severe storm
6-Mar-17,Australia and New Zealand,Storm,Convective storm,Hail
19-Aug-17,Western Europe,Storm,Convective storm,Severe storm
1-May-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
1-Jan-17,Middle Africa,Storm,Convective storm,Severe storm
15-Apr-17,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
20-May-17,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
1-Mar-17,Eastern Asia,Storm,Convective storm,Severe storm
10-Aug-17,Eastern Europe,Storm,Convective storm,Derecho
22-Jun-17,Western Europe,Storm,Convective storm,Hail
3-Jan-18,Western Europe,Storm,Convective storm,Severe storm
24-Jan-18,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
3-Jan-18,Southern Europe,Storm,Convective storm,Severe storm
2-Jan-18,Northern Europe,Storm,Convective storm,Severe storm
3-Jan-18,Western Europe,Storm,Convective storm,Severe storm
17-Aug-18,Western Asia,Storm,Convective storm,Hail
29-Apr-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
21-Sep-18,Northern America,Storm,Convective storm,Tornado
3-Mar-18,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
2-Jan-18,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
27-Dec-18,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
18-Apr-19,Southern Europe,Storm,Convective storm,Severe storm
5-Jan-19,Western Europe,Storm,Convective storm,Winter storm/Blizzard
13-Jan-19,Western Europe,Storm,Convective storm,Winter storm/Blizzard
27-Jun-19,Western Asia,Storm,Convective storm,Hail
31-Mar-19,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
3-Jul-19,Eastern Asia,Storm,Convective storm,Tornado
27-Jan-19,Caribbean,Storm,Convective storm,Tornado
5-Jan-19,Western Europe,Storm,Convective storm,Winter storm/Blizzard
10-Jul-19,Southern Europe,Storm,Convective storm,Tornado
24-Oct-16,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
1-Sep-16,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
9-Sep-17,Southern Europe,Storm,Convective storm,Lightning/Thunderstorms
22-Apr-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
5-Aug-17,Southern Europe,Storm,Convective storm,Severe storm
21-Jul-17,Australia and New Zealand,Storm,Convective storm,Winter storm/Blizzard
11-Sep-17,Southern Europe,Storm,Convective storm,Lightning/Thunderstorms
21-Jun-17,Eastern Europe,Storm,Convective storm,Hail
4-Sep-17,Western Africa,Storm,Convective storm,Severe storm
8-Jul-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-May-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
25-Mar-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Jun-17,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Aug-17,Eastern Europe,Storm,Convective storm,Derecho
17-Sep-17,Eastern Europe,Storm,Convective storm,Severe storm
1-Jun-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
2-Jan-18,Northern Europe,Storm,Convective storm,Severe storm
11-Apr-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
17-Apr-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
13-May-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
6-May-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-May-18,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
1-May-18,Southern Asia,Storm,Convective storm,Sand/Dust storm
19-Jan-18,Western Asia,Storm,Convective storm,Winter storm/Blizzard
25-Nov-18,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
6-Jun-19,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
11-Jan-19,Western Asia,Storm,Convective storm,Severe storm
1-Jun-19,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-May-19,Eastern Asia,Storm,Convective storm,Storm/Surge
30-Mar-19,Southern Asia,Storm,Convective storm,Severe storm
26-Nov-16,Northern America,Storm,Convective storm,Winter storm/Blizzard
13-Dec-16,Northern America,Storm,Convective storm,Winter storm/Blizzard
28-Nov-16,Western Asia,Storm,Convective storm,Winter storm/Blizzard
9-Dec-16,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
24-Apr-16,Northern America,Storm,Convective storm,Lightning/Thunderstorms
6-Jan-17,Northern America,Storm,Convective storm,Winter storm/Blizzard
5-Aug-17,Northern America,Storm,Convective storm,Tornado
31-Dec-17,Northern America,Storm,Convective storm,Winter storm/Blizzard
7-Jun-17,Southern Africa,Storm,Convective storm,Lightning/Thunderstorms
27-Jul-17,Western Asia,Storm,Convective storm,Lightning/Thunderstorms
25-Jun-17,Northern America,Storm,Convective storm,Lightning/Thunderstorms
25-Mar-17,Northern America,Storm,Convective storm,Tornado
27-Feb-17,Northern America,Storm,Convective storm,Tornado
29-May-17,Eastern Europe,Storm,Convective storm,Severe storm
9-May-17,Northern America,Storm,Convective storm,Hail
6-Mar-17,Northern America,Storm,Convective storm,Hail
9-Jun-17,Northern America,Storm,Convective storm,Lightning/Thunderstorms
5-Nov-17,Northern America,Storm,Convective storm,Lightning/Thunderstorms
9-Oct-17,Southern Africa,Storm,Convective storm,Lightning/Thunderstorms
1-Apr-17,Eastern Africa,Storm,Convective storm,Severe storm
10-Aug-17,Eastern Europe,Storm,Convective storm,Derecho
13-Mar-17,Northern America,Storm,Convective storm,Winter storm/Blizzard
18-Jan-17,Northern America,Storm,Convective storm,Severe storm
1-Mar-18,Northern America,Storm,Convective storm,Winter storm/Blizzard
6-Aug-18,Northern America,Storm,Convective storm,Lightning/Thunderstorms
3-Jan-18,Northern America,Storm,Convective storm,Winter storm/Blizzard
26-Dec-18,Northern America,Storm,Convective storm,Winter storm/Blizzard
19-Jul-18,Northern America,Storm,Convective storm,Tornado
21-Jan-18,Northern America,Storm,Convective storm,Winter storm/Blizzard
23-Feb-19,Northern America,Storm,Convective storm,Lightning/Thunderstorms
18-Jan-19,Northern America,Storm,Convective storm,Sand/Dust storm
13-Apr-19,Northern America,Storm,Convective storm,Tornado
23-May-19,Northern America,Storm,Convective storm,Tornado
29-Jan-19,Northern America,Storm,Convective storm,Winter storm/Blizzard
24-Apr-19,Northern America,Storm,Convective storm,Lightning/Thunderstorms
31-Oct-19,Northern America,Storm,Convective storm,Severe storm
23-Nov-19,Western Europe,Storm,Convective storm,Severe storm
11-Jan-19,Northern America,Storm,Convective storm,Winter storm/Blizzard
3-Mar-19,Northern America,Storm,Convective storm,Tornado
9-Aug-19,Western Europe,Storm,Convective storm,Tornado
19-Jan-20,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
12-Jan-20,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
13-Jun-20,Northern America,Storm,Convective storm,Severe storm
13-Jul-20,Western Asia,Storm,Convective storm,Hail
16-Mar-20,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
31-Oct-20,Australia and New Zealand,Storm,Convective storm,Hail
1-May-20,Eastern Asia,Storm,Convective storm,Severe storm
29-Jan-21,South America,Storm,Convective storm,Severe storm
24-Jun-21,Eastern Europe,Storm,Convective storm,Severe storm
23-Jul-21,Western Europe,Storm,Convective storm,Severe storm
8-Jan-21,Southern Europe,Storm,Convective storm,Winter storm/Blizzard
30-Apr-21,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-Jun-21,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
28-Jun-21,Western Europe,Storm,Convective storm,Lightning/Thunderstorms
14-Mar-21,Eastern Asia,Storm,Convective storm,Sand/Dust storm
24-Jul-21,Western Europe,Storm,Convective storm,Severe storm
21-Jun-21,Northern America,Storm,Convective storm,Tornado
13-May-21,Eastern Asia,Storm,Convective storm,Tornado
22-May-21,Eastern Asia,Storm,Convective storm,Severe storm
23-Nov-19,Southern Europe,Storm,Convective storm,Severe storm
16-Oct-19,Central America,Storm,Convective storm,Severe storm
12-Nov-19,Southern Europe,Storm,Convective storm,Severe storm
17-Aug-19,Central America,Storm,Convective storm,Severe storm
22-Aug-19,Eastern Europe,Storm,Convective storm,Severe storm
19-Jun-19,Western Africa,Storm,Convective storm,Storm/Surge
9-Aug-19,Western Europe,Storm,Convective storm,Tornado
22-Aug-19,Eastern Europe,Storm,Convective storm,Severe storm
11-Jan-20,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
29-Aug-20,Southern Europe,Storm,Convective storm,Severe storm
25-Aug-20,Eastern Africa,Storm,Convective storm,Severe storm
16-Dec-20,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
1-Jan-20,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
11-Jan-20,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
7-Jan-20,Western Asia,Storm,Convective storm,Severe storm
29-Apr-20,South-Eastern Asia,Storm,Convective storm,Severe storm
16-May-21,Central America,Storm,Convective storm,Severe storm
14-Jul-21,Southern Asia,Storm,Convective storm,Severe storm
31-May-21,Southern Asia,Storm,Convective storm,Severe storm
22-Jun-21,Eastern Europe,Storm,Convective storm,Severe storm
7-Jan-21,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
8-Jan-21,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
2-Jul-21,Western Africa,Storm,Convective storm,Severe storm
1-Jan-21,South-Eastern Asia,Storm,Convective storm,Severe storm
14-Mar-21,Eastern Asia,Storm,Convective storm,Sand/Dust storm
22-Mar-21,South-Eastern Asia,Storm,Convective storm,Severe storm
12-Feb-21,Central America,Storm,Convective storm,Winter storm/Blizzard
19-Jun-21,Australia and New Zealand,Storm,Convective storm,Tornado
1-Jun-21,Northern Africa,Storm,Convective storm,Severe storm
16-Dec-19,Northern America,Storm,Convective storm,Severe storm
27-Nov-19,Northern America,Storm,Convective storm,Winter storm/Blizzard
20-Oct-19,Northern America,Storm,Convective storm,Severe storm
11-Nov-19,Southern Africa,Storm,Convective storm,Severe storm
20-May-20,Northern America,Storm,Convective storm,Severe storm
10-Nov-20,Northern America,Storm,Convective storm,Lightning/Thunderstorms
17-Nov-20,Southern Africa,Storm,Convective storm,Severe storm
6-Apr-20,Northern America,Storm,Convective storm,Tornado
2-May-20,Northern America,Storm,Convective storm,Severe storm
22-Jun-20,South America,Storm,Convective storm,Severe storm
10-Apr-20,Northern America,Storm,Convective storm,Tornado
21-Apr-20,Northern America,Storm,Convective storm,Tornado
10-Jan-20,Northern America,Storm,Convective storm,Severe storm
22-Apr-20,South-Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
8-Aug-20,Northern America,Storm,Convective storm,Derecho
27-May-20,Northern America,Storm,Convective storm,Hail
2-Mar-20,Northern America,Storm,Convective storm,Tornado
27-Mar-20,Northern America,Storm,Convective storm,Severe storm
13-Jan-21,Northern America,Storm,Convective storm,Severe storm
24-Jan-21,Northern America,Storm,Convective storm,Severe storm
5-May-21,Northern America,Storm,Convective storm,Tornado
27-Apr-21,Northern America,Storm,Convective storm,Severe storm
24-Jan-21,Northern America,Storm,Convective storm,Tornado
9-Apr-21,Northern America,Storm,Convective storm,Severe storm
10-Feb-21,Northern America,Storm,Convective storm,Winter storm/Blizzard
24-Mar-21,Northern America,Storm,Convective storm,Tornado
14-May-21,Northern America,Storm,Convective storm,Severe storm
13-Apr-21,Northern America,Storm,Convective storm,Severe storm
16-Mar-21,Northern America,Storm,Convective storm,Tornado
22-Mar-21,South-Eastern Asia,Storm,Convective storm,Severe storm
